Waktu Pesanan Dibuat,Jumlah,Returned Quantity,Total Pembayaran,Total Diskon,Ongkos Kirim Dibayar oleh Pembeli,Jumlah Terjual Bersih,Weekend
2024-03-22,1,0,14750,0.0,0.0,1,0.0
2024-03-23,0,0,0,0.0,0.0,0,0.0
2024-03-24,0,0,0,0.0,0.0,0,0.0
2024-03-25,5,0,245769,0.0,16000.0,5,0.0
2024-03-26,0,0,0,0.0,0.0,0,0.0
2024-03-27,0,0,0,0.0,0.0,0,0.0
2024-03-28,1,0,154400,0.0,26000.0,1,0.0
2024-03-29,0,0,0,0.0,0.0,0,0.0
2024-03-30,0,0,0,0.0,0.0,0,0.0
2024-03-31,1,0,84363,0.0,8000.0,1,1.0
2024-04-01,1,0,124000,0.0,23000.0,1,0.0
2024-04-02,0,0,0,0.0,0.0,0,0.0
2024-04-03,0,0,0,0.0,0.0,0,0.0
2024-04-04,0,0,0,0.0,0.0,0,0.0
2024-04-05,0,0,0,0.0,0.0,0,0.0
2024-04-06,0,0,0,0.0,0.0,0,0.0
2024-04-07,0,0,0,0.0,0.0,0,0.0
2024-04-08,1,0,50000,0.0,8000.0,1,0.0
2024-04-09,0,0,0,0.0,0.0,0,0.0
2024-04-10,0,0,0,0.0,0.0,0,0.0
2024-04-11,0,0,0,0.0,0.0,0,0.0
2024-04-12,0,0,0,0.0,0.0,0,0.0
2024-04-13,5,0,385134,0.0,45300.0,5,1.0
2024-04-14,1,0,24577,0.0,8000.0,1,1.0
2024-04-15,0,0,0,0.0,0.0,0,0.0
2024-04-16,0,0,0,0.0,0.0,0,0.0
2024-04-17,2,0,38440,0.0,0.0,2,0.0
2024-04-18,4,0,177389,0.0,32000.0,4,0.0
2024-04-19,0,0,0,0.0,0.0,0,0.0
2024-04-20,1,0,123312,0.0,20000.0,1,1.0
2024-04-21,1,0,134846,0.0,14000.0,1,1.0
2024-04-22,2,0,187487,0.0,20000.0,2,0.0
2024-04-23,0,0,0,0.0,0.0,0,0.0
2024-04-24,0,0,0,0.0,0.0,0,0.0
2024-04-25,10,0,145815,0.0,4000.0,10,0.0
2024-04-26,0,0,0,0.0,0.0,0,0.0
2024-04-27,0,0,0,0.0,0.0,0,0.0
2024-04-28,0,0,0,0.0,0.0,0,0.0
2024-04-29,0,0,0,0.0,0.0,0,0.0
2024-04-30,14,0,326770,0.0,119500.0,14,0.0
2024-05-01,1,0,76500,0.0,15000.0,1,0.0
2024-05-02,4,0,349480,0.0,23500.0,4,0.0
2024-05-03,0,0,0,0.0,0.0,0,0.0
2024-05-04,0,0,0,0.0,0.0,0,0.0
2024-05-05,2,0,91716,0.0,0.0,2,1.0
2024-05-06,4,0,34280,0.0,0.0,4,0.0
2024-05-07,0,0,0,0.0,0.0,0,0.0
2024-05-08,1,0,114000,0.0,11000.0,1,0.0
2024-05-09,0,0,0,0.0,0.0,0,0.0
2024-05-10,1,0,25745,0.0,13500.0,1,0.0
2024-05-11,0,0,0,0.0,0.0,0,0.0
2024-05-12,2,0,52000,0.0,8000.0,2,1.0
2024-05-13,0,0,0,0.0,0.0,0,0.0
2024-05-14,0,0,0,0.0,0.0,0,0.0
2024-05-15,0,0,0,0.0,0.0,0,0.0
2024-05-16,0,0,0,0.0,0.0,0,0.0
2024-05-17,0,0,0,0.0,0.0,0,0.0
2024-05-18,2,0,181597,0.0,17500.0,2,1.0
2024-05-19,0,0,0,0.0,0.0,0,0.0
2024-05-20,0,0,0,0.0,0.0,0,0.0
2024-05-21,3,0,242125,0.0,57000.0,3,0.0
2024-05-22,0,0,0,0.0,0.0,0,0.0
2024-05-23,1,0,170720,0.0,43000.0,1,0.0
2024-05-24,0,0,0,0.0,0.0,0,0.0
2024-05-25,0,0,0,0.0,0.0,0,0.0
2024-05-26,0,0,0,0.0,0.0,0,0.0
2024-05-27,1,0,21280,0.0,8000.0,1,0.0
2024-05-28,0,0,0,0.0,0.0,0,0.0
2024-05-29,1,0,98700,0.0,12000.0,1,0.0
2024-05-30,0,0,0,0.0,0.0,0,0.0
2024-05-31,0,0,0,0.0,0.0,0,0.0
2024-06-01,4,0,242000,0.0,25000.0,4,1.0
2024-06-02,0,0,0,0.0,0.0,0,0.0
2024-06-03,1,0,172520,0.0,0.0,1,0.0
2024-06-04,0,0,0,0.0,0.0,0,0.0
2024-06-05,0,0,0,0.0,0.0,0,0.0
2024-06-06,2,0,137160,0.0,0.0,2,0.0
2024-06-07,0,0,0,0.0,0.0,0,0.0
2024-06-08,1,0,12896,0.0,0.0,1,1.0
2024-06-09,0,0,0,0.0,0.0,0,0.0
2024-06-10,0,0,0,0.0,0.0,0,0.0
2024-06-11,0,0,0,0.0,0.0,0,0.0
2024-06-12,0,0,0,0.0,0.0,0,0.0
2024-06-13,0,0,0,0.0,0.0,0,0.0
2024-06-14,0,0,0,0.0,0.0,0,0.0
2024-06-15,1,0,21800,0.0,2000.0,1,1.0
2024-06-16,1,0,167000,0.0,0.0,1,1.0
2024-06-17,0,0,0,0.0,0.0,0,0.0
2024-06-18,0,0,0,0.0,0.0,0,0.0
2024-06-19,0,0,0,0.0,0.0,0,0.0
2024-06-20,0,0,0,0.0,0.0,0,0.0
2024-06-21,1,0,120000,0.0,20000.0,1,0.0
2024-06-22,0,0,0,0.0,0.0,0,0.0
2024-06-23,0,0,0,0.0,0.0,0,0.0
2024-06-24,3,0,304921,0.0,29201.0,3,0.0
2024-06-25,3,0,113200,0.0,0.0,3,0.0
2024-06-26,0,0,0,0.0,0.0,0,0.0
2024-06-27,0,0,0,0.0,0.0,0,0.0
2024-06-28,1,0,142500,0.0,16500.0,1,0.0
